data_hora,id_empresa,id_display,id_zona,pid,usuario,nome,status,memoria,uso_cpu,mac,ip
27-05-2026 22:18:31,2,2,1,0,NT AUTHORITY,System Idle Process,running,8192,1408.5,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,4,NT AUTHORITY,System,running,28418048,7.9,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,1064,NT AUTHORITY,lsass.exe,running,26374144,2.2,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,1452,NT AUTHORITY,svchost.exe,running,23449600,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,1896,NT AUTHORITY,svchost.exe,running,8171520,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,2492,Window Manager,dwm.exe,running,86818816,5.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,2644,NT AUTHORITY,svchost.exe,running,12660736,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,4308,DESKTOP-L723IV1,RadeonSoftware.exe,running,32497664,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,4876,NT AUTHORITY,svchost.exe,running,26374144,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,4988,DESKTOP-L723IV1,chrome.exe,running,610586624,21.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,5036,NT AUTHORITY,MsMpEng.exe,running,295063552,7.9,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,7380,NT AUTHORITY,RAPS.exe,running,19136512,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,9092,NT AUTHORITY,WmiPrvSE.exe,running,27209728,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,10752,DESKTOP-L723IV1,EpicGamesLauncher.exe,running,105336832,11.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,12164,NT AUTHORITY,audiodg.exe,running,77664256,5.0,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,15712,DESKTOP-L723IV1,Taskmgr.exe,running,57769984,4.2,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,16816,DESKTOP-L723IV1,EpicWebHelper.exe,running,248688640,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,17160,DESKTOP-L723IV1,python.exe,running,55001088,80.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,21848,DESKTOP-L723IV1,Discord.exe,running,493862912,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:18:31,2,2,1,23756,DESKTOP-L723IV1,chrome.exe,running,863027200,12.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,0,NT AUTHORITY,System Idle Process,running,8192,1338.5,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,4,NT AUTHORITY,System,running,28418048,7.5,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,172,NT AUTHORITY,Registry,running,63500288,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,1056,NT AUTHORITY,services.exe,running,12083200,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,1064,NT AUTHORITY,lsass.exe,running,26292224,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,2492,Window Manager,dwm.exe,running,88129536,4.8,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,2644,NT AUTHORITY,svchost.exe,running,12685312,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,3392,NT AUTHORITY,svchost.exe,running,14966784,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,3416,NT AUTHORITY,atieclxx.exe,running,15347712,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,3488,NT AUTHORITY,MemCompression,running,788893696,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,4308,DESKTOP-L723IV1,RadeonSoftware.exe,running,32546816,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,4876,NT AUTHORITY,svchost.exe,running,26693632,5.5,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,4900,NT AUTHORITY,SmartByteNetworkService.exe,running,51720192,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,4988,DESKTOP-L723IV1,chrome.exe,running,658202624,23.9,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,5036,NT AUTHORITY,MsMpEng.exe,running,304295936,11.6,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,7380,NT AUTHORITY,RAPS.exe,running,19136512,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,9092,NT AUTHORITY,WmiPrvSE.exe,running,27193344,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,10752,DESKTOP-L723IV1,EpicGamesLauncher.exe,running,105316352,7.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,11420,NT AUTHORITY,svchost.exe,running,17166336,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,14304,DESKTOP-L723IV1,Discord.exe,running,104435712,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,15712,DESKTOP-L723IV1,Taskmgr.exe,running,57602048,4.0,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,17160,DESKTOP-L723IV1,python.exe,running,55111680,82.6,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,17196,NT AUTHORITY,WmiPrvSE.exe,running,45281280,1.3,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,19636,NT AUTHORITY,svchost.exe,running,53915648,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,21648,NT AUTHORITY,EpicOnlineServicesUserHelper.exe,running,66048000,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,21848,DESKTOP-L723IV1,Discord.exe,running,496549888,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,23756,DESKTOP-L723IV1,chrome.exe,running,340545536,17.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:19:35,2,2,1,24368,DESKTOP-L723IV1,chrome.exe,running,315125760,6.8,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,0,NT AUTHORITY,System Idle Process,running,8192,1433.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,4,NT AUTHORITY,System,running,28418048,3.6,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,1056,NT AUTHORITY,services.exe,running,12120064,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,1064,NT AUTHORITY,lsass.exe,running,26324992,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,2492,Window Manager,dwm.exe,running,84795392,5.1,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,2644,NT AUTHORITY,svchost.exe,running,12701696,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,4876,NT AUTHORITY,svchost.exe,running,26525696,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,4900,NT AUTHORITY,SmartByteNetworkService.exe,running,51560448,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,4988,DESKTOP-L723IV1,chrome.exe,running,659537920,21.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,5036,NT AUTHORITY,MsMpEng.exe,running,298381312,3.6,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,7380,NT AUTHORITY,RAPS.exe,running,19165184,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,9092,NT AUTHORITY,WmiPrvSE.exe,running,27176960,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,10752,DESKTOP-L723IV1,EpicGamesLauncher.exe,running,105299968,6.6,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,15712,DESKTOP-L723IV1,Taskmgr.exe,running,57638912,2.2,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,17160,DESKTOP-L723IV1,python.exe,running,55111680,83.3,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,23756,DESKTOP-L723IV1,chrome.exe,running,299134976,11.6,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:20:39,2,2,1,24368,DESKTOP-L723IV1,chrome.exe,running,313430016,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,0,NT AUTHORITY,System Idle Process,running,8192,1430.0,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,4,NT AUTHORITY,System,running,28422144,3.6,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,1064,NT AUTHORITY,lsass.exe,running,26329088,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,2492,Window Manager,dwm.exe,running,90763264,5.0,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,2644,NT AUTHORITY,svchost.exe,running,12607488,1.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,4308,DESKTOP-L723IV1,RadeonSoftware.exe,running,32632832,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,4900,NT AUTHORITY,SmartByteNetworkService.exe,running,51638272,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,4988,DESKTOP-L723IV1,chrome.exe,running,670384128,19.4,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,5036,NT AUTHORITY,MsMpEng.exe,running,299802624,7.2,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,7380,NT AUTHORITY,RAPS.exe,running,19251200,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,9092,NT AUTHORITY,WmiPrvSE.exe,running,27176960,0.7,E0-2B-E9-6D-2E-C3,192.168.100.34
27-05-2026 22:21:43,2,2,1,10752,DESKTOP-L723IV1,EpicGamesLauncher.exe,running,105480192,5.8,E0-2B-E9-6D-2E-C3,192.168.100.34
